name,frame duration,start frame,end frame,duration (s),start (s),end (s)
none,4,3997,4001,0.13,133.41,133.54
Judge_2,1,4001,4002,0.03,133.54,133.58
Judge_1,1,4002,4003,0.03,133.58,133.61
Judge_2,4,4003,4007,0.13,133.61,133.74
none,32,4007,4039,1.07,133.74,134.81
Mother,3,4039,4042,0.1,134.81,134.91
none,1,4042,4043,0.03,134.91,134.95
Mother,1,4043,4044,0.03,134.95,134.98
none,1,4044,4045,0.03,134.98,135.01
Mother,2,4045,4047,0.07,135.01,135.08
none,1,4047,4048,0.03,135.08,135.11
Mother,1,4048,4049,0.03,135.11,135.15
none,7,4049,4056,0.23,135.15,135.38
Mother,14,4056,4070,0.47,135.38,135.85
none,3,4070,4073,0.1,135.85,135.95
Mother,5,4073,4078,0.17,135.95,136.11
none,1,4078,4079,0.03,136.11,136.15
Mother,12,4079,4091,0.4,136.15,136.55
none,2,4091,4093,0.07,136.55,136.62
Mother,1,4093,4094,0.03,136.62,136.65
none,5,4094,4099,0.17,136.65,136.82
Mother,34,4099,4133,1.13,136.82,137.95
none,5,4133,4138,0.17,137.95,138.12
Mother,1,4138,4139,0.03,138.12,138.15
none,2,4139,4141,0.07,138.15,138.22
Mother,14,4141,4155,0.47,138.22,138.68
none,32,4155,4187,1.07,138.68,139.75
Judge_2,1,4187,4188,0.03,139.75,139.79
none,88,4188,4276,2.94,139.79,142.72
Mother,1,4276,4277,0.03,142.72,142.76
none,2,4277,4279,0.07,142.76,142.82
Mother,3,4279,4282,0.1,142.82,142.92
none,18,4282,4300,0.6,142.92,143.52
Mother,1,4300,4301,0.03,143.52,143.56
none,6,4301,4307,0.2,143.56,143.76
Mother,10,4307,4317,0.33,143.76,144.09
none,1,4317,4318,0.03,144.09,144.13
Mother,1,4318,4319,0.03,144.13,144.16
none,4,4319,4323,0.13,144.16,144.29
Mother,1,4323,4324,0.03,144.29,144.33
none,33,4324,4357,1.1,144.33,145.43
Mother,2,4357,4359,0.07,145.43,145.49
none,2,4359,4361,0.07,145.49,145.56
Mother,4,4361,4365,0.13,145.56,145.69
none,1,4365,4366,0.03,145.69,145.73
Mother,9,4366,4375,0.3,145.73,146.03
none,56,4375,4431,1.87,146.03,147.9
Judge_2,3,4431,4434,0.1,147.9,148.0
none,414,4434,4848,13.82,148.0,161.82
Mother,2,4848,4850,0.07,161.82,161.88
none,1,4850,4851,0.03,161.88,161.92
Mother,1,4851,4852,0.03,161.92,161.95
none,306,4852,5158,10.21,161.95,172.16
Mother,5,5158,5163,0.17,172.16,172.33
none,5,5163,5168,0.17,172.33,172.5
Mother,1,5168,5169,0.03,172.5,172.53
none,11,5169,5180,0.37,172.53,172.9
Mother,2,5180,5182,0.07,172.9,172.96
none,38,5182,5220,1.27,172.96,174.23
Mother,3,5220,5223,0.1,174.23,174.33
none,22,5223,5245,0.73,174.33,175.07
Mother,1,5245,5246,0.03,175.07,175.1
none,1,5246,5247,0.03,175.1,175.13
Mother,1,5247,5248,0.03,175.13,175.17
none,37,5248,5285,1.23,175.17,176.4
Mother,1,5285,5286,0.03,176.4,176.44
none,1,5286,5287,0.03,176.44,176.47
Mother,1,5287,5288,0.03,176.47,176.5
none,1,5288,5289,0.03,176.5,176.54
Mother,1,5289,5290,0.03,176.54,176.57
none,1,5290,5291,0.03,176.57,176.6
Mother,1,5291,5292,0.03,176.6,176.64
none,4,5292,5296,0.13,176.64,176.77
Mother,1,5296,5297,0.03,176.77,176.8
